Food Name,Category,Veg/Non-Veg,Food Type,Tags,Calories (kcal),Protein (g),Carbs (g),Fat (g)
Vada Pav - Region 47,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 47,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 47,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 47,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 47,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 47,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 47,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 47,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 48,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 48,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 48,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 48,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 48,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 48,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 48,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 48,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 48,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 48,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 48,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 48,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 48,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 48,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 48,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 48,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 48,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 48,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 48,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 49,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 49,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 49,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 49,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 49,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 49,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 49,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 49,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 49,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 49,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 49,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 49,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 49,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 49,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 49,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 49,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 49,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 49,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 49,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 50,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 50,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 50,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 50,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 50,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 50,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 50,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 50,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 50,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 50,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 50,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 50,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 50,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 50,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 50,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 50,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 50,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 50,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 50,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 51,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 51,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 51,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 51,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 51,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 51,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 51,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 51,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 51,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 51,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 51,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 51,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 51,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 51,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 51,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 51,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 51,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 51,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 51,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 52,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 52,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 52,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 52,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 52,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 52,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 52,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 52,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 52,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 52,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 52,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 52,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 52,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 52,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 52,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 52,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 52,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 52,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 52,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 53,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 53,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 53,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 53,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 53,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 53,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 53,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 53,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 53,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 53,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 53,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 53,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
